doc_id,word,TFIDFVector,TFIDFFieldVector,BM25plusVector,BM25plusFieldVector,score_disparity
95,quiz,0.2939789305634653,0.3038753483092267,0.2572167090782805,0.2602679883978325,0.043607359911394195
95,hollywood,0.2208014036489814,0.2555305588058871,0.2006899288496144,0.2176614558903623,0.03786910291552481
95,buzz,0.2670825356911102,0.2698672971414527,0.2345262684832942,0.2327416286394255,0.0371256685020272
95,trivia,0.1933909037625213,0.2475391345405474,0.1815444748968356,0.2253887427826235,0.02215039175792391
95,datasetvideogamebuzz,0.0997922257261436,0.2249021222357254,0.1048573044035804,0.2119993450974349,0.012902777138290494
282,piece,0.4421711598584758,0.4382288843881307,0.3383795674559584,0.3302528192997639,0.10797606508836677
282,datasetvideogameone,0.2075176759466091,0.3811561172362734,0.2118762381145401,0.3330226412691277,0.048133475967145734
282,adventurehtml,0.2075176759466091,0.3811561172362734,0.2118762381145401,0.3330226412691277,0.048133475967145734
282,ganbarion,0.3106926892942402,0.355094107936396,0.2722845224621492,0.3115349024486746,0.04355920548772141
282,adventure,0.1366767047084048,0.1235581569984215,0.1077157337206991,0.1016832646327804,0.021874892365641094
359,sims,0.4129574472727191,0.4292825014476374,0.3338907083097169,0.3319364519688231,0.09734604947881431
359,maxi,0.2006360019955115,0.2909466353907269,0.1899377718695118,0.266179161455031,0.024767473935695894
359,simulation,0.1195579467827351,0.1879917539635107,0.1171123177224192,0.1738926938166221,0.014099060146888609
359,2,0.0813845170072359,0.0926780198214514,0.075508918431571,0.0828487902558477,0.009829229565603698
359,datasetvideogamethe,0.076615509899283,0.1785486363741251,0.0835820344533973,0.1707749367569171,0.007773699617208002
393,xiaolin,0.2401113190167113,0.3076767708149267,0.2210091190751527,0.2686080179589692,0.03906875285595751
393,showdown,0.2414269036127891,0.2817040467862167,0.2234850563845838,0.2491423467407292,0.0325617000454875
393,datasetvideogamexiaolin,0.1144143300376357,0.2556836030632642,0.1219626454059745,0.2364361892752191,0.01924741378804512
393,showdownhtml,0.1144143300376357,0.2556836030632642,0.1219626454059745,0.2364361892752191,0.01924741378804512
393,bottlerocket,0.1712996048699854,0.2382009282758876,0.1669110629908101,0.2232862467168899,0.014914681558997694
5,offroad,0.299212007291861,0.3249137885752183,0.2639177660647673,0.2721879020106158,0.052725886564602475
5,fury,0.2392007725293789,0.2597476950743801,0.2145002044897398,0.2212217900729821,0.03852590500139802
5,atv,0.2816104152371277,0.2852527467801477,0.2499210326998526,0.2490322505596949,0.036220496220452814
5,scea,0.1548358278998079,0.2176753699327265,0.1487519631791351,0.2076135210849165,0.010061848847809973
5,4,0.1108886604288784,0.1233074901916764,0.1044602897276069,0.1134495625864182,0.009857927605258207
246,manhunt,0.3170024789609816,0.3732649082939182,0.2640145333290531,0.2959417040592472,0.07732320423467098
246,rockstar,0.2241238913059525,0.2617053740859493,0.1875940621703701,0.2051743016885626,0.056531072397386695
246,datasetvideogamemanhunthtml,0.1502302589638527,0.3387871695080581,0.1526091538980021,0.2861424367923481,0.05264473271571002
246,north,0.1610418683749046,0.2259815440387853,0.1495082838795052,0.1982236928220591,0.027757851216726193
246,mature,0.0632469471662861,0.0887510988329049,0.0594053999233618,0.0787619083091773,0.009989190523727598
252,mercenary,0.2558023090153039,0.3199723168134543,0.2179408024517906,0.2551240551097567,0.06484826170369756
252,datasetvideogamemercenarieshtml,0.158604024667534,0.3459891896763881,0.1607915446117473,0.2863255528753887,0.0596636368009994
252,pandemic,0.219279112708852,0.2976529723962966,0.1964016216061321,0.250711805974541,0.04694116642175561
252,lucasarts,0.1881989802388221,0.25546430381819,0.1707447402111331,0.2179601259343698,0.03750417788382021
252,shooter,0.1091211615483712,0.1606119358115078,0.1003801009604561,0.1340899025637738,0.026522033247734
313,ssx,0.3207198260053621,0.3493425544756033,0.2645004389093668,0.2779292212376478,0.07141333323795551
313,tour,0.3018530044753526,0.3287919583050422,0.2504728038110583,0.2631893980647468,0.06560256024029543
313,datasetvideogamessx,0.133098057552096,0.2945562744505416,0.1417393796211001,0.2587381617030751,0.03581811274746649
313,4html,0.0902531522047702,0.1997371919605159,0.0991197016358857,0.1809380671651292,0.0187991247953867
313,canada,0.1252957225010773,0.1725430371046748,0.1187187502947798,0.1540554141732763,0.018487622931398495
260,motogp,0.3356561569705381,0.3859175476185517,0.2778742027934116,0.3038404633061766,0.08207708431237509
260,datasetvideogamemotogp,0.1590704008049799,0.3502711096491001,0.1665076926914548,0.2969848412449011,0.05328626840419898
260,namco,0.164016125273506,0.1996572839080028,0.140916426324373,0.1579316207091635,0.0417256631988393
260,simulation,0.1419171554118277,0.2108484198946504,0.1339647664687509,0.1795384196122811,0.0313100002823693
260,4,0.1192183350590121,0.150528112089995,0.1067370033092143,0.1254948668050547,0.025033245284940303
209,guitar,0.2905174876401384,0.2996980013265686,0.2468625399051058,0.2421919809751004,0.05750602035146821
209,bundle,0.2453686965315135,0.314567110568157,0.2211622001016355,0.2749208047191123,0.039646305849044716
209,controller,0.1553480580602825,0.1991590225125606,0.1480817967942508,0.1840765136185966,0.015082508893964008
209,hero,0.1392515211531328,0.1471174440303218,0.1281551213550807,0.1323326016660486,0.014784842364273187
209,redoctane,0.1885719972845144,0.2240047694737892,0.1776656846662461,0.209445734763535,0.014559034710254187
162,sacnoth,0.256530453043746,0.3448960245166664,0.2235476604335438,0.2919255223570259,0.0529705021596405
162,shadow,0.2067054853979642,0.2312835091985425,0.1799467160819726,0.195806871182023,0.035476638016519485
162,heart,0.2022316330604081,0.2262776997674383,0.1761521866640772,0.1916778992891002,0.034599800478338105
162,heartshtml,0.1237179075777865,0.267311223651594,0.1270440649176316,0.2386076716702722,0.028703551981321795
162,datasetvideogameshadow,0.1164400173662307,0.2515862427159946,0.1203063529069494,0.2259532452214961,0.025632997494498516
242,nfl,0.26645295624715,0.3206064637781125,0.2277342967548128,0.2515666375966288,0.06903982618148374
242,07,0.2538319888964737,0.3026926182345902,0.2241352248695335,0.2552631709533321,0.047429447281258086
242,madden,0.2538319888964737,0.3026926182345902,0.2241352248695335,0.2552631709533321,0.047429447281258086
242,datasetvideogamemadden,0.1350601241697141,0.2808814137506225,0.1460805401819397,0.2539890410540721,0.02689237269655037
242,tiburon,0.1773046719878883,0.2294460944867159,0.1665709834674119,0.2070200483366795,0.022426046150036405
