doc_id,word,TFIDFVector,TFIDFFieldVector,BM25plusVector,BM25plusFieldVector,score_disparity
0,datasetvideogamehackguhtml,0.1601879684776985,0.325358960354467,0.1677697294154672,0.2892041170886418,0.16517099187676848
0,hack,0.2084407612358986,0.1494484694896014,0.1945453766344064,0.1603458726907551,0.05899229174629722
0,rebirth,0.3361724391440779,0.3915205866869566,0.2841858937181415,0.3211703814083194,0.0553481475428787
1,datasetvideogamehackgu,0.1633470886338465,0.3223815143798735,0.1788412274438559,0.2902492776570618,0.159034425746027
1,part,0.0816394082618429,0.1611233863342712,0.0951207363254317,0.154375617989603,0.0794839780724283
1,3html,0.0766666436329887,0.1513091471879695,0.089413945115995,0.1451138160552661,0.07464250355498081
2,datasetvideogame24html,0.1288504785155692,0.2937346059202326,0.1310578520345805,0.2544637252385928,0.1648841274046634
2,cambridge,0.2181628244124359,0.3094670818188137,0.1956308157252954,0.26410219809399,0.09130425740637782
2,2k,0.1472782044224824,0.2089162361226851,0.1392656737114116,0.1880090844065752,0.06163803170020268
3,datasetvideogame50,0.1247397482954613,0.2727500652920054,0.1348903243565751,0.256104011049312,0.1480103169965441
3,bulletproofhtml,0.1247397482954613,0.2727500652920054,0.1348903243565751,0.256104011049312,0.1480103169965441
3,genuine,0.172459818614889,0.2346456770264513,0.1709239303489853,0.2255112385850833,0.06218585841156232
4,datasetvideogameatv,0.1107466895087723,0.247264370391025,0.1192019679768078,0.232226069435653,0.1365176808822527
4,3html,0.0636557230501467,0.1421242689203204,0.0702526270180238,0.1368642793137343,0.0784685458701737
4,atvs,0.2846260296415321,0.2435333455340254,0.2520290504820744,0.2302995242417621,0.041092684107506716
5,datasetvideogameatv,0.0971643732287383,0.2195231124220376,0.1020190924615052,0.2101099883001008,0.12235873919329929
5,4html,0.0713494439691403,0.1611995373326285,0.0764086409705575,0.1573648448834043,0.08985009336348822
5,scea,0.1548358278998079,0.2176753699327265,0.1487519631791351,0.2076135210849165,0.06283954203291858
6,datasetvideogameatv,0.2095622614460985,0.3351286299286756,0.2827538789536463,0.3655066456543472,0.1255663684825771
6,2html,0.1204535985278243,0.1926274757966926,0.1666432453522477,0.2154142459691586,0.0721738772688683
6,quad,0.6124191206031794,0.5666345731270308,0.5278685085776981,0.4797862703488321,0.045784547476148574
7,datasetvideogameace,0.1011780843395364,0.2199406771849446,0.1074812964813311,0.2083166077624598,0.11876259284540819
7,warhtml,0.1011780843395364,0.2199406771849446,0.1074812964813311,0.2083166077624598,0.11876259284540819
7,unsung,0.2956801143867731,0.3718750969037917,0.2555324415754869,0.3006214367537312,0.07619498251701862
8,datasetvideogameace,0.1337083696979545,0.2486738309887523,0.1578152193810219,0.2473377022855793,0.1149654612907978
8,warhtml,0.1337083696979545,0.2486738309887523,0.1578152193810219,0.2473377022855793,0.1149654612907978
8,flight,0.2027404012527064,0.2544089019552078,0.2005832189971315,0.2396640952767448,0.051668500702501424
9,datasetvideogamealiashtml,0.137209472636381,0.3083530320403227,0.1396368558437976,0.2706056408731147,0.17114355940394171
9,cheltenham,0.205428187529479,0.2872690215121677,0.188994051594292,0.2550884537756534,0.08184083398268871
9,acclaim,0.2394326964003468,0.2974618348820234,0.211391723698057,0.2462743088113836,0.05802913848167657
10,datasetvideogamealien,0.1523523877809453,0.3089857347841144,0.1577865315121855,0.267741674529221,0.1566333470031691
10,hominidhtml,0.1523523877809453,0.3089857347841144,0.1577865315121855,0.267741674529221,0.1566333470031691
10,contra,0.1523523877809453,0.084346164051122,0.1577865315121855,0.1154734896677696,0.06800622372982329
11,datasetvideogameape,0.1063147262302579,0.2507567932698633,0.1060794850903015,0.2401460379967488,0.14444206703960538
11,3html,0.0498986134188439,0.1176922213242811,0.0530357870685878,0.1200640644674944,0.0677936079054372
11,sce,0.1079344359305516,0.1584104913347443,0.1073054386677186,0.1602577033100674,0.0504760554041927
12,datasetvideogamearcana,0.1379362658483874,0.2976761952595009,0.1452915396390004,0.2631871648150617,0.1597399294111135
12,heartshtml,0.1126333015837211,0.2430706128568869,0.1232533686701666,0.2232663012230839,0.13043731127316577
12,examu,0.2335463996181643,0.3136197833594785,0.2125857864652198,0.2722997378057765,0.08007338374131417
13,datasetvideogamearea,0.1351913806912111,0.292334460554823,0.1400730202376954,0.2614084530927535,0.1571430798636119
13,51html,0.1351913806912111,0.292334460554823,0.1400730202376954,0.2614084530927535,0.1571430798636119
13,austin,0.2288989050533304,0.3079919444273647,0.2080966955005719,0.2711018708753774,0.07909303937403431
14,datasetvideogameafl,0.2047891976627158,0.4052819088463716,0.2149673563273871,0.3453131272743877,0.2004927111836558
14,2006html,0.1497553652780519,0.2963688563292047,0.1649667375894714,0.2649945602276369,0.1466134910511528
14,afl,0.3467382526317606,0.2629692463750147,0.301439586277379,0.2619702514352878,0.08376900625674594
15,nexushtml,0.1498209002950836,0.3028535419108386,0.1658455473753962,0.2798770360236953,0.15303264161575497
15,datasetvideogamearmored,0.1324810098867698,0.2678020423125817,0.1506793884611344,0.254282983774707,0.1353210324258119
15,labeled,0.2536688349235735,0.1965080748484294,0.2369458639919484,0.207884705123388,0.05716076007514412
16,datasetvideogameiris,0.1284007232899707,0.2573117492052201,0.1403619710460655,0.2441981939797892,0.1289110259152494
16,manahtml,0.1284007232899707,0.2573117492052201,0.1403619710460655,0.2441981939797892,0.1289110259152494
16,no,0.0631274887732519,0.1265058649435748,0.0734579049848864,0.1278001982813496,0.0633783761703229
17,datasetvideogameathens,0.1765327753938527,0.3619322087273435,0.1923353693778773,0.3186878803773841,0.1853994333334908
