Query,vec type,url
Fun adventure with fantasy characters,TFIDFVector,/videogame/final-fantasy-xii.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/everblue-2.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/curious-george.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/final-fantasy-vii-2006.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/grand-theft-auto-vice-city.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/gauntlet-seven-sorrows.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/one-piece-grand-adventure.html
Fun adventure with fantasy characters,TFIDFVector,/videogame/george-of-the-jungle.html
Super hero game marvel or DC,TFIDFVector,/videogame/untitled-marvel-comics-rpg.html
Super hero game marvel or DC,TFIDFVector,/videogame/spider-man-trilogy.html
Super hero game marvel or DC,TFIDFVector,/videogame/iron-man-2008.html
Super hero game marvel or DC,TFIDFVector,/videogame/x-men-legends.html
Super hero game marvel or DC,TFIDFVector,/videogame/justice-league-of-america.html
Super hero game marvel or DC,TFIDFVector,/videogame/ghost-rider.html
Super hero game marvel or DC,TFIDFVector,/videogame/guitar-hero-2.html
Super hero game marvel or DC,TFIDFVector,/videogame/guitar-hero.html
Super hero game marvel or DC,TFIDFVector,/videogame/sonic-heroes.html
Super hero game marvel or DC,TFIDFVector,/videogame/naruto-narutimett-hero.html
Final fantasy,TFIDFVector,/videogame/final-fantasy-x.html
Final fantasy,TFIDFVector,/videogame/final-fantasy-xii.html
Final fantasy,TFIDFVector,/videogame/final-fantasy-vii-2006.html
Final fantasy,TFIDFVector,/videogame/final-fight-streetwise.html
Final fantasy,TFIDFVector,/videogame/r-type-final.html
Final fantasy,TFIDFVector,/videogame/kingdom-hearts.html
Final fantasy,TFIDFVector,/videogame/uefa-euro-2004.html
Final fantasy,TFIDFVector,/videogame/eragon.html
Final fantasy,TFIDFVector,/videogame/moto-gp-3.html
Final fantasy,TFIDFVector,/videogame/gauntlet-seven-sorrows.html
Action-Adventure Games,TFIDFFieldVector,/videogame/one-piece-grand-adventure.html
Action-Adventure Games,TFIDFFieldVector,/videogame/family-guy.html
Action-Adventure Games,TFIDFFieldVector,/videogame/grand-theft-auto-san-andreas.html
Action-Adventure Games,TFIDFFieldVector,/videogame/resident-evil-4.html
Action-Adventure Games,TFIDFFieldVector,/videogame/true-crime-streets-of-la.html
Action-Adventure Games,TFIDFFieldVector,/videogame/spider-man-3.html
Action-Adventure Games,TFIDFFieldVector,/videogame/yakuza-2.html
Action-Adventure Games,TFIDFFieldVector,/videogame/grand-theft-auto-san-andreas-special-edition.html
Action-Adventure Games,TFIDFFieldVector,/videogame/prince-of-persia-the-sands-of-time.html
