DocID,TFIDFVectorSum,TFIDFFieldVectorSum,BM25plusVectorSum,BM25plusFieldVectorSum
26,0.07690508076295714,0.07734606723955104,0.06529647339785037,0.06629510197172259
27,0.08333082122282191,0.08350378789544981,0.06932915002553738,0.0704095924367644
28,0.07879569790017105,0.07987797310915801,0.06688245250583179,0.06839749191053149
29,0.08629337742808015,0.08625111498162528,0.06943665327403828,0.07039950122497067
30,0.08222730518353263,0.08333247865515306,0.06724467868571345,0.06862071087755296
31,0.0938050281273501,0.09423277776115155,0.07071212336012903,0.0726351341069891
32,0.09091179592374281,0.09159688921809717,0.07039462675245861,0.0717115516822915
33,0.0751770214077146,0.07530030116325237,0.06383460975002718,0.0647829699097087
34,0.08732395285473718,0.08810172322439791,0.06876791186929972,0.07043327135831184
35,0.07452017007952928,0.07475759345242323,0.06422697194405819,0.0651760566559592
36,0.07884365557204501,0.07915561209851565,0.06653739539310159,0.0675537733825113
37,0.08461966048892665,0.08545069807315395,0.07114388842541215,0.07284744451913476
38,0.0771805965293911,0.07804357560535172,0.06470743472798415,0.06610060243469774
39,0.09198406995659127,0.09153555107928223,0.07287598037680473,0.07353542063887099
40,0.08143687908648752,0.08549123445217365,0.0724341858080905,0.07498260636639602
41,0.08183010849922623,0.08221504516414227,0.06916522258780346,0.07027964888285491
42,0.06770333064415553,0.0690835813228816,0.05929615282110802,0.060875476426091375
43,0.08405076518231808,0.08464174865640307,0.0686213525241758,0.0699882295321473
44,0.07352533031112789,0.074790029109749,0.06334344777402974,0.06484657448287681
45,0.09547259451031867,0.09506935268117109,0.07167628046253874,0.07252810307469207
46,0.11076635022631523,0.10818730954083416,0.06800810950019182,0.06938940345045846
47,0.08686655817765093,0.08803145741961513,0.07139174861212634,0.07311554508902526
48,0.08200765917084872,0.08381407782836521,0.06664879900828778,0.06917614438030595
49,0.07220979220617159,0.07318792133195025,0.06297250560680676,0.06445184763125705
50,0.09488193808104325,0.09488430971039444,0.06951103059376353,0.07090407271039423
51,0.07115554417624147,0.07206651849557093,0.061967392567446655,0.0631957293222841
52,0.08082482739369187,0.08204719822229804,0.0670405059072512,0.0686936290958534
53,0.08748567348619184,0.08801419429430213,0.0695545682004201,0.07099352330260601
54,0.08309168552333492,0.08410617440051232,0.06776120972210267,0.06952291475909085
55,0.07649790340590167,0.07707940761385916,0.06517150067540486,0.0663152317058936
56,0.0961381759848302,0.09567945885858044,0.07035092413742612,0.07165579100139043
57,0.0786033847241891,0.07916250716663606,0.06574488065216487,0.06671249054420306
58,0.11723874201306321,0.11285599502135744,0.06328502586466378,0.06440244552380431
59,0.0824208420322031,0.08186239988474972,0.06813110383659164,0.06849568601735123
60,0.07438114803046043,0.07436306525964874,0.0643200803351976,0.06495111306394774
61,0.08048626984199393,0.08051471835986782,0.06631353359444357,0.06745617435973839
62,0.10106471296540816,0.09993695057054998,0.07234384962897403,0.07406188802850007
63,0.07789857879929597,0.07843127355224748,0.06535742267041166,0.06632946131381957
64,0.07985241725994777,0.08091696895070581,0.06767088633068741,0.06889002934137756
65,0.11362049457079958,0.11090365309982331,0.06332953352855544,0.06562803968015356
66,0.08265361024704394,0.08317730553807312,0.06828959689086847,0.06925310768757703
67,0.09231898441171807,0.09131334778209267,0.06865357272552515,0.06953380840238338
68,0.07367448319401482,0.07349775834428361,0.06385558139640715,0.06429654297106092
69,0.07749651623661279,0.07925878266669774,0.06592675539720255,0.06813800061909374
70,0.08184395560596182,0.08146451467190921,0.06908357525040458,0.06951673115683754
71,0.08110618565694905,0.08207110767877072,0.06853683057477213,0.06993093822681405
72,0.08194477353668801,0.0820708600603834,0.06767667888711186,0.06845967416223979
73,0.08381777688557243,0.08372923797788795,0.0699940864233009,0.07099810994942551
74,0.07266459010909329,0.07423059038992177,0.06193383244226703,0.06365090765336522
75,0.0878571985243506,0.08683098429104456,0.06974799018872957,0.07041366499537081
76,0.07713468375402914,0.07724478803316433,0.06491052364313901,0.06572893431995887
77,0.08479697617024796,0.08560000964487621,0.069984344573098,0.07084205973355008
78,0.07933315886725006,0.07917651574932937,0.06700595683275569,0.06753327892995421
79,0.08144501590153608,0.08264543570030193,0.06732710926555244,0.06874860802023108
80,0.09443043364169629,0.09335927182711132,0.07067858493526924,0.07164702856740914
81,0.07696152074630924,0.0785338056039053,0.06516460748633536,0.06678576748288995
82,0.08022637989143704,0.07921652323707021,0.06707711222213471,0.06722110160208529
83,0.08371586904557313,0.08329574244359003,0.06940835802547796,0.07005732069257703
84,0.08562036771907235,0.08490397091118185,0.06948898452870597,0.06989627461757814
85,0.0932318800580032,0.09119511404566355,0.07027637667816454,0.07099845388845474
86,0.10153018079610199,0.10033724786547069,0.06580244020930447,0.06622245213941558
87,0.08504985148243321,0.08602212887009282,0.07165778090635151,0.07298479830724877
88,0.07693817936338934,0.07758642517597171,0.0665834317407343,0.0678085620123968
89,0.07942907450148251,0.07984394396455866,0.06679529146786399,0.06780675878942583
90,0.0870907813361284,0.0875114641384866,0.06996891097825644,0.07097259334791788
91,0.07655044523573051,0.07558004123107362,0.06510421564965896,0.0653294773194724
92,0.08581085912505902,0.08495781379245039,0.0705333978293327,0.07101955275965145
93,0.08902558385242075,0.08964009170998775,0.07035470003601157,0.07163468484029598
94,0.08167439231842175,0.08136933087184758,0.0677554997775972,0.06843862684986024
95,0.07192958547314836,0.07306212908074809,0.06427853820571253,0.06552606371628873
96,0.07651505410037003,0.07675043859211433,0.06512079876144122,0.06621776575837302
97,0.11313503641042914,0.10944823932631999,0.06307968529836051,0.06356830129319672
98,0.07871561771501198,0.07795611909327509,0.06651886868363328,0.06685467135028017
99,0.07762805625390119,0.07686299045364255,0.06717779403224498,0.06762997726022356
